epoch,train_loss,val_mre,sr@5,sr@10,sr@20,lr
1,0.022671,48.8470,0.82,4.08,18.21,1.000e-03
2,0.018205,36.6634,3.80,11.96,35.87,1.000e-03
3,0.017936,38.5299,1.63,8.70,35.87,1.000e-03
4,0.017066,37.7704,2.45,8.42,35.60,1.000e-03
5,0.017216,35.5289,3.53,13.32,41.58,1.000e-03
6,0.016732,38.2468,2.72,10.87,34.24,1.000e-03
7,0.016396,41.8163,1.63,6.79,25.00,1.000e-03
8,0.016663,37.7461,2.17,7.61,32.34,1.000e-03
9,0.016419,39.3838,1.90,8.42,27.72,1.000e-03
10,0.016439,35.2164,4.08,16.85,39.95,1.000e-03
11,0.016079,37.2184,2.17,11.68,36.68,1.000e-03
12,0.016182,35.9115,4.89,13.86,38.86,1.000e-03
13,0.015824,38.1964,2.17,8.15,32.34,1.000e-03
14,0.015889,37.2328,3.26,10.87,32.07,1.000e-03
15,0.016106,37.0168,4.35,11.96,38.04,1.000e-03
16,0.015709,43.8201,1.09,4.89,20.65,5.000e-04
17,0.015156,35.4812,4.62,14.13,41.03,5.000e-04
18,0.014774,35.9861,5.43,14.95,38.32,5.000e-04
19,0.015150,37.0271,2.45,12.50,35.33,5.000e-04
20,0.014989,35.5543,3.26,15.22,40.49,5.000e-04
21,0.015129,40.4446,3.80,10.87,32.34,5.000e-04
22,0.015302,35.5271,3.26,16.03,38.04,2.500e-04
23,0.014991,34.5518,3.80,17.66,43.48,2.500e-04
24,0.014228,33.9089,4.08,16.58,44.57,2.500e-04
25,0.014671,35.6591,2.99,14.67,38.59,2.500e-04
26,0.014491,34.5902,3.80,15.76,43.48,2.500e-04
27,0.014123,34.8507,4.08,16.58,42.66,2.500e-04
28,0.014442,34.9472,4.35,16.58,40.49,2.500e-04
29,0.013910,40.2683,1.90,7.07,27.45,2.500e-04
30,0.014342,34.1543,2.72,16.58,46.74,1.250e-04
31,0.013998,34.3125,4.62,17.12,44.02,1.250e-04
32,0.014035,34.3073,5.71,17.93,43.21,1.250e-04
33,0.014005,34.2740,6.79,17.12,43.75,1.250e-04
34,0.014463,34.1948,5.16,19.29,45.11,1.250e-04
35,0.013538,34.3440,4.08,16.30,44.02,1.250e-04
36,0.013696,33.8491,5.43,19.29,45.11,1.250e-04
37,0.013695,34.0988,4.35,18.48,45.65,1.250e-04
38,0.013984,33.9983,5.16,19.02,45.65,1.250e-04
39,0.013531,34.9673,4.35,15.76,42.39,1.250e-04
40,0.013659,34.1233,4.35,18.48,45.92,1.250e-04
41,0.013531,35.1864,4.08,16.30,40.76,1.250e-04
42,0.013534,35.0486,6.52,14.40,41.85,6.250e-05
43,0.013570,34.6032,5.71,18.21,42.66,6.250e-05
44,0.013099,34.3672,5.43,19.29,42.66,6.250e-05
45,0.013060,34.3765,5.43,20.11,43.48,6.250e-05
46,0.013584,34.8709,6.25,17.93,41.85,6.250e-05
47,0.013702,34.4100,6.52,17.66,42.93,6.250e-05
48,0.013167,34.5611,6.25,18.75,44.02,3.125e-05
49,0.013420,34.5748,5.71,18.75,43.48,3.125e-05
50,0.013404,34.5769,5.43,16.30,42.93,3.125e-05
