epoch,train_loss,val_mre,sr@5,sr@10,sr@20,lr
1,0.036633,126.0481,0.00,0.54,2.45,1.000e-03
2,0.001245,134.4685,0.00,0.00,0.82,1.000e-03
3,0.000869,123.9413,1.36,2.99,5.98,1.000e-03
4,0.000828,112.2275,2.99,5.16,11.14,1.000e-03
5,0.000804,108.1217,3.80,7.07,14.40,1.000e-03
6,0.000791,103.0805,4.62,10.05,17.39,1.000e-03
7,0.000781,101.7146,5.71,11.96,19.02,1.000e-03
8,0.000772,97.4098,7.88,13.86,21.74,1.000e-03
9,0.000766,93.4833,9.24,15.76,23.64,1.000e-03
10,0.000762,90.8800,10.05,18.75,25.82,1.000e-03
11,0.000758,86.8208,9.24,19.57,26.63,1.000e-03
12,0.000753,84.5150,9.78,19.57,27.17,1.000e-03
13,0.000750,81.8541,10.33,20.92,28.53,1.000e-03
14,0.000747,79.4680,11.14,22.55,30.43,1.000e-03
15,0.000745,77.7181,11.96,22.83,31.52,1.000e-03
16,0.000744,76.1512,12.77,24.46,32.34,1.000e-03
17,0.000739,76.1071,13.32,23.91,32.34,1.000e-03
18,0.000738,75.5732,13.86,25.27,33.70,1.000e-03
19,0.000737,74.1382,13.32,24.73,33.42,1.000e-03
20,0.000733,73.0790,14.13,25.54,33.97,1.000e-03
21,0.000735,72.4545,13.59,25.54,35.33,1.000e-03
22,0.000732,70.3538,13.04,26.63,36.96,1.000e-03
23,0.000732,68.7665,13.32,26.90,36.68,1.000e-03
24,0.000727,67.0259,13.32,26.63,36.96,1.000e-03
25,0.000729,66.8531,13.86,27.45,37.23,1.000e-03
26,0.000726,66.9611,13.86,27.45,38.04,1.000e-03
27,0.000724,64.5614,13.86,27.45,38.32,1.000e-03
28,0.000721,63.7104,13.59,27.99,39.95,1.000e-03
29,0.000721,62.5134,14.13,27.99,40.22,1.000e-03
30,0.000720,63.3912,14.13,28.26,40.49,1.000e-03
31,0.000719,62.2725,14.13,28.53,41.30,1.000e-03
32,0.000720,66.7494,13.86,28.53,40.49,1.000e-03
33,0.000719,60.9278,15.22,29.35,41.85,1.000e-03
34,0.000718,59.9232,14.95,30.16,43.21,1.000e-03
35,0.000712,59.2348,14.67,29.62,43.75,1.000e-03
36,0.000717,59.0504,13.59,29.89,44.84,1.000e-03
37,0.000716,57.5198,15.22,30.43,44.84,1.000e-03
38,0.000714,53.3996,14.95,30.16,45.65,1.000e-03
39,0.000711,57.8223,14.40,30.43,45.38,1.000e-03
40,0.000713,54.4618,14.13,29.89,45.11,1.000e-03
41,0.000708,50.3438,15.76,30.98,45.92,1.000e-03
42,0.000710,50.7061,15.76,31.25,46.74,1.000e-03
43,0.000710,50.1037,16.30,31.25,47.28,1.000e-03
44,0.000708,48.9927,14.95,30.71,46.47,1.000e-03
45,0.000707,48.4680,16.58,31.79,47.55,1.000e-03
46,0.000706,48.4398,15.76,31.52,47.01,1.000e-03
47,0.000706,46.5544,17.12,32.34,48.91,1.000e-03
48,0.000703,45.6001,17.93,32.88,50.00,1.000e-03
49,0.000706,44.5987,17.66,33.15,49.46,1.000e-03
50,0.000703,44.7105,18.75,33.70,50.00,1.000e-03
51,0.000699,42.8773,19.29,35.05,51.63,1.000e-03
52,0.000702,42.3641,18.48,34.24,52.45,1.000e-03
53,0.000701,42.1018,19.29,35.33,51.90,1.000e-03
54,0.000697,41.4662,21.20,36.41,52.72,1.000e-03
55,0.000698,42.1508,19.84,36.14,53.80,1.000e-03
56,0.000698,41.1269,19.84,36.68,54.35,1.000e-03
57,0.000697,40.9641,19.84,36.14,53.80,1.000e-03
58,0.000694,39.5410,20.38,36.41,54.35,1.000e-03
59,0.000697,41.3406,20.38,37.23,55.43,1.000e-03
60,0.000695,39.8304,22.55,38.04,55.16,1.000e-03
61,0.000694,39.0364,21.47,38.04,57.07,1.000e-03
62,0.000693,38.3712,21.74,38.32,57.07,1.000e-03
63,0.000692,39.5491,21.47,37.50,56.25,1.000e-03
64,0.000690,38.7534,21.47,37.77,56.79,1.000e-03
65,0.000687,39.5366,22.83,39.13,57.34,1.000e-03
66,0.000692,36.4735,23.10,40.22,58.70,1.000e-03
67,0.000689,37.3409,21.74,40.76,58.70,1.000e-03
68,0.000687,38.5151,23.10,40.49,58.42,1.000e-03
69,0.000683,38.1993,24.46,41.58,58.15,1.000e-03
70,0.000685,37.1801,23.64,41.03,58.70,1.000e-03
71,0.000681,36.2897,23.10,41.58,59.78,1.000e-03
72,0.000680,35.9818,24.73,42.12,60.33,1.000e-03
73,0.000681,36.3854,23.91,41.30,58.70,1.000e-03
74,0.000682,35.4915,26.63,45.11,59.78,1.000e-03
75,0.000680,35.3843,25.82,42.12,60.87,1.000e-03
76,0.000678,35.4650,26.09,43.21,60.60,1.000e-03
77,0.000677,34.8437,26.36,42.93,59.24,1.000e-03
78,0.000675,31.4646,27.72,45.11,62.50,1.000e-03
79,0.000677,34.6863,26.09,43.48,61.96,1.000e-03
80,0.000674,33.9421,27.72,44.84,62.77,1.000e-03
