epoch,train_loss,val_mre,sr@5,sr@10,sr@20,lr
1,0.019531,118.0333,1.63,4.35,7.34,1.000e-03
2,0.001062,141.0075,0.00,0.82,1.36,1.000e-03
3,0.000891,150.6275,0.00,0.27,0.82,1.000e-03
4,0.000853,148.3648,0.00,0.27,0.54,1.000e-03
5,0.000830,155.7302,0.00,0.54,1.09,1.000e-03
6,0.000818,148.6296,0.27,1.09,2.99,1.000e-03
7,0.000820,164.7766,0.54,1.09,2.72,5.000e-04
8,0.000798,153.8888,1.90,3.26,5.43,5.000e-04
9,0.000801,150.8481,2.17,4.35,6.25,5.000e-04
10,0.000790,163.2361,1.90,3.80,6.79,5.000e-04
11,0.000787,127.6888,2.45,5.71,9.78,5.000e-04
12,0.000784,132.8693,2.99,6.25,9.78,5.000e-04
13,0.000790,131.9466,3.26,7.88,11.14,2.500e-04
14,0.000779,143.0211,2.99,5.98,8.97,2.500e-04
15,0.000777,132.4820,3.26,7.88,11.96,2.500e-04
16,0.000774,132.6939,3.26,7.88,11.96,2.500e-04
17,0.000780,130.2348,3.53,8.70,12.23,2.500e-04
18,0.000778,132.8809,3.26,8.42,11.96,2.500e-04
19,0.000776,128.5680,3.80,8.70,12.50,1.250e-04
20,0.000776,127.7650,3.80,8.42,12.77,1.250e-04
21,0.000772,126.5221,4.35,9.78,13.04,1.250e-04
22,0.000768,123.8444,4.62,9.78,13.59,1.250e-04
23,0.000770,124.3215,4.89,10.33,14.13,1.250e-04
24,0.000769,124.2161,5.43,10.60,13.86,1.250e-04
25,0.000769,121.9869,4.89,9.78,13.86,6.250e-05
26,0.000770,123.6897,5.16,9.78,14.13,6.250e-05
27,0.000771,120.4620,5.43,10.05,14.67,6.250e-05
28,0.000767,123.6802,5.16,9.51,13.59,6.250e-05
29,0.000768,121.0286,5.16,9.78,13.86,6.250e-05
30,0.000771,122.1008,4.89,9.24,13.59,6.250e-05
31,0.000768,120.3473,5.16,10.33,14.67,3.125e-05
32,0.000770,120.5047,5.16,9.78,14.67,3.125e-05
33,0.000767,120.9289,5.43,10.05,14.67,3.125e-05
34,0.000767,122.9895,5.16,9.78,14.40,3.125e-05
35,0.000768,122.3011,5.43,10.33,14.95,3.125e-05
36,0.000767,120.9653,5.43,10.05,15.22,3.125e-05
37,0.000769,120.1392,5.16,10.60,15.49,1.563e-05
38,0.000765,121.0341,4.89,10.05,15.76,1.563e-05
39,0.000768,121.3744,5.43,10.05,14.67,1.563e-05
40,0.000769,119.3817,4.89,9.78,14.67,1.563e-05
41,0.000768,119.0704,5.71,10.60,15.76,1.563e-05
42,0.000768,120.3344,5.43,10.87,16.03,1.563e-05
43,0.000769,120.3758,5.71,10.87,15.49,7.813e-06
44,0.000769,121.4715,5.43,10.87,15.49,7.813e-06
45,0.000768,127.7507,5.71,10.05,15.22,7.813e-06
46,0.000766,120.4980,5.43,10.87,15.22,7.813e-06
47,0.000769,124.0450,5.71,10.60,16.30,7.813e-06
48,0.000766,120.5993,5.43,10.05,15.49,7.813e-06
49,0.000768,120.9332,5.43,10.60,14.40,3.906e-06
50,0.000768,119.4472,5.43,10.87,15.49,3.906e-06
51,0.000767,120.7832,5.16,9.78,15.22,3.906e-06
52,0.000767,119.1435,5.71,10.33,15.49,3.906e-06
53,0.000767,120.1699,5.43,10.05,15.22,3.906e-06
54,0.000767,123.8504,5.43,10.33,15.49,3.906e-06
55,0.000769,118.1008,5.71,10.87,15.76,1.953e-06
56,0.000767,121.8328,5.43,10.05,15.49,1.953e-06
57,0.000767,118.7955,5.16,10.33,15.49,1.953e-06
58,0.000768,118.2294,5.16,10.05,15.49,1.953e-06
59,0.000767,119.1700,5.43,10.05,15.49,1.953e-06
60,0.000766,121.0343,5.71,10.33,15.76,1.953e-06
61,0.000764,122.4475,5.43,10.33,16.03,9.766e-07
62,0.000765,117.3406,5.71,10.87,15.76,9.766e-07
63,0.000766,120.7469,5.43,9.78,15.49,9.766e-07
64,0.000767,119.6323,5.43,10.05,16.03,9.766e-07
65,0.000766,117.4776,5.43,10.87,15.49,9.766e-07
66,0.000765,120.3349,5.16,10.05,15.49,9.766e-07
67,0.000768,119.9484,5.71,10.87,16.03,9.766e-07
68,0.000767,119.4432,5.43,10.05,15.49,4.883e-07
69,0.000768,119.7473,5.43,10.60,15.76,4.883e-07
70,0.000766,119.5394,5.16,10.05,15.49,4.883e-07
