epoch,train_loss,val_loss,val_dice,mean_axis_diff,lr
1,0.731578,1.504185,0.6750,54.3483,1.000e-03
2,0.407572,0.406988,0.8581,28.0465,1.000e-03
3,0.309200,0.271107,0.9054,26.7825,1.000e-03
4,0.246595,0.197061,0.9333,31.0758,1.000e-03
5,0.189576,0.210583,0.9158,27.0596,1.000e-03
6,0.168788,0.125286,0.9555,32.7866,1.000e-03
7,0.145039,0.132732,0.9491,33.9072,1.000e-03
8,0.143962,0.159745,0.9427,29.3674,1.000e-03
9,0.134900,0.106965,0.9604,31.9895,1.000e-03
10,0.134188,0.115816,0.9548,31.5188,1.000e-03
11,0.131615,0.138614,0.9409,32.6773,1.000e-03
12,0.112653,0.095305,0.9618,29.8871,1.000e-03
13,0.108898,0.106409,0.9530,31.4339,1.000e-03
14,0.103941,0.082089,0.9677,30.4051,1.000e-03
15,0.118478,0.271762,0.8997,43.5322,1.000e-03
16,0.164542,0.136436,0.9428,30.3540,1.000e-03
17,0.127953,0.096144,0.9615,29.2491,1.000e-03
18,0.116413,0.099354,0.9632,31.8819,1.000e-03
19,0.103881,0.093260,0.9620,33.9348,1.000e-03
20,0.100922,0.089225,0.9641,30.7554,5.000e-04
21,0.095377,0.077620,0.9688,32.6922,5.000e-04
22,0.089908,0.077249,0.9688,34.2160,5.000e-04
23,0.087518,0.074048,0.9702,29.8256,5.000e-04
24,0.086213,0.076107,0.9693,33.4370,5.000e-04
25,0.083221,0.080180,0.9667,29.5135,5.000e-04
26,0.083736,0.075369,0.9702,31.1526,5.000e-04
27,0.082790,0.074238,0.9696,32.3876,5.000e-04
28,0.079638,0.076231,0.9686,32.6702,5.000e-04
29,0.080558,0.079072,0.9692,34.5707,2.500e-04
30,0.079293,0.072446,0.9707,33.7117,2.500e-04
31,0.079086,0.072129,0.9710,31.7286,2.500e-04
32,0.077781,0.072114,0.9715,31.9482,2.500e-04
33,0.075371,0.073219,0.9712,32.9509,2.500e-04
34,0.077011,0.074059,0.9700,32.1965,2.500e-04
35,0.076473,0.074981,0.9695,31.8544,2.500e-04
36,0.071998,0.072212,0.9709,33.2733,2.500e-04
37,0.071400,0.072551,0.9713,31.9715,2.500e-04
38,0.071908,0.072830,0.9699,32.1841,1.250e-04
39,0.069668,0.069365,0.9719,32.3471,1.250e-04
40,0.069271,0.069415,0.9719,32.7424,1.250e-04
