epoch,train_loss,val_loss,val_dice,mean_axis_diff,lr
1,0.711004,1.117585,0.5284,53.4607,1.000e-03
2,0.403873,0.366513,0.8674,35.6722,1.000e-03
3,0.274271,0.276781,0.9023,26.7918,1.000e-03
4,0.207209,0.254173,0.9030,37.4021,1.000e-03
5,0.212874,0.199966,0.9113,29.2549,1.000e-03
6,0.172164,0.166298,0.9177,25.0554,1.000e-03
7,0.153413,0.121094,0.9531,29.9491,1.000e-03
8,0.142008,0.113719,0.9543,32.5402,1.000e-03
9,0.141840,0.161144,0.9333,31.8012,1.000e-03
10,0.123730,0.099646,0.9601,30.5034,1.000e-03
11,0.109939,0.089253,0.9645,30.0636,1.000e-03
12,0.122602,0.112423,0.9539,31.4791,1.000e-03
13,0.123936,0.108197,0.9554,28.7998,1.000e-03
14,0.121435,0.122792,0.9498,30.4616,1.000e-03
15,0.114165,0.112944,0.9523,33.5148,1.000e-03
16,0.117958,0.097643,0.9567,33.2631,1.000e-03
17,0.132228,0.096459,0.9602,30.8364,5.000e-04
18,0.107514,0.083158,0.9667,30.7703,5.000e-04
19,0.095604,0.108561,0.9524,29.6949,5.000e-04
20,0.094824,0.083728,0.9659,31.8857,5.000e-04
21,0.091309,0.088119,0.9600,32.3842,5.000e-04
22,0.093618,0.078347,0.9681,31.0801,5.000e-04
23,0.086168,0.078911,0.9677,31.6945,5.000e-04
24,0.085033,0.081447,0.9669,30.7932,5.000e-04
25,0.083062,0.078454,0.9683,33.6651,5.000e-04
26,0.082508,0.075825,0.9691,31.3556,5.000e-04
27,0.079592,0.074677,0.9693,34.0270,5.000e-04
28,0.081994,0.079654,0.9654,33.1152,5.000e-04
29,0.080492,0.074156,0.9692,32.4718,5.000e-04
30,0.085772,0.085832,0.9661,35.3841,5.000e-04
31,0.083853,0.076810,0.9672,32.1663,5.000e-04
32,0.079237,0.072363,0.9710,31.8715,5.000e-04
33,0.077387,0.087013,0.9670,30.8351,5.000e-04
34,0.081827,0.073973,0.9695,35.2446,5.000e-04
35,0.076693,0.078217,0.9669,32.9274,5.000e-04
36,0.075112,0.074494,0.9697,31.7551,5.000e-04
37,0.075392,0.072486,0.9699,30.8856,5.000e-04
38,0.087582,0.085258,0.9657,28.5685,2.500e-04
39,0.080639,0.070889,0.9710,32.6336,2.500e-04
40,0.075164,0.069712,0.9711,32.8811,2.500e-04
